toolName,toolType,_pmid,_doi,_publicationTitle,_year,_confidence,_usageType,nf_specific,completeness_score,priority,strainNomenclature,animalModelGeneticDisorder,animalModelOfManifestation,targetAntigen,hostOrganism,clonality,organ,cellLineGeneticDisorder,cellLineManifestation,cellLineCategory,insertName,vectorType,vectorBackbone,promoter,softwareName,softwareType,softwareVersion,sourceRepository,modelType,derivationSource,cellTypes,organoidType,modelSystemType,patientDiagnosis,hostStrain,tumorType,assessmentName,assessmentType,targetPopulation,diseaseSpecific,numberOfItems,_context,filter_reason
Fiji,computational_tools,PMID:29662612,10.18632/oncotarget.19335,Exploiting mitochondrial and metabolic homeostasis as a vulnerability in NF1 deficient cells.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,Fiji,Analysis Software,,,,,,,,,,,,,,,,"Image processing was performed with Fiji, built on ImageJ2",Generic bioinformatics/stats tool: Fiji
ImageJ2,computational_tools,PMID:29662612,10.18632/oncotarget.19335,Exploiting mitochondrial and metabolic homeostasis as a vulnerability in NF1 deficient cells.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,ImageJ2,Analysis Software,,,,,,,,,,,,,,,,"Image processing was performed with Fiji, built on ImageJ2",Generic tool (versioned): ImageJ2
Seahorse Wave 2.2/2.3,computational_tools,PMID:29662612,10.18632/oncotarget.19335,Exploiting mitochondrial and metabolic homeostasis as a vulnerability in NF1 deficient cells.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,Seahorse Wave 2.2/2.3,Analysis Software,2.2/2.3,,,,,,,,,,,,,,,The analysis was performed with Seahorse Wave 2.2/2.3,Software name not in publication title — likely generic usage: Seahorse Wave 2.2/2.3
FlowJo,computational_tools,PMID:29662612,10.18632/oncotarget.19335,Exploiting mitochondrial and metabolic homeostasis as a vulnerability in NF1 deficient cells.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,FlowJo,Analysis Software,,,,,,,,,,,,,,,,Histograms were generated using the FlowJo or FlowLogic flow cytometry analysis software packages,No version and no repository URL (confidence < 0.9 — unidentifiable)
FlowLogic,computational_tools,PMID:29662612,10.18632/oncotarget.19335,Exploiting mitochondrial and metabolic homeostasis as a vulnerability in NF1 deficient cells.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,FlowLogic,Analysis Software,,,,,,,,,,,,,,,,Histograms were generated using the FlowJo or FlowLogic flow cytometry analysis software packages,No version and no repository URL (confidence < 0.9 — unidentifiable)
Illumina MiSeq,computational_tools,PMID:26066488,10.1371/journal.pone.0129099,A Systematic Assessment of Accuracy in Detecting Somatic Mosaic Variants by Deep Amplicon Sequencing: Application to NF2 Gene.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,Illumina MiSeq,Analysis Software,,,,,,,,,,,,,,,,"All sample libraries were equimolarly pooled and sequenced on the Illumina MiSeq Sequencer (Illumina, San Diego, CA, USA) with MiSeq Reagent Kit v2",Sequencing hardware or generic assay protocol: Illumina MiSeq
BWA MEM,computational_tools,PMID:26066488,10.1371/journal.pone.0129099,A Systematic Assessment of Accuracy in Detecting Somatic Mosaic Variants by Deep Amplicon Sequencing: Application to NF2 Gene.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,BWA MEM,Analysis Software,,,,,,,,,,,,,,,,Amplicon reads were aligned against the human reference genome hg19 with BWA MEM,No version and no repository URL (confidence < 0.9 — unidentifiable)
GATK version 2.5.2,computational_tools,PMID:26066488,10.1371/journal.pone.0129099,A Systematic Assessment of Accuracy in Detecting Somatic Mosaic Variants by Deep Amplicon Sequencing: Application to NF2 Gene.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,GATK version 2.5.2,Analysis Software,2.5.2,,,,,,,,,,,,,,,GATK version 2.5.2 was used to recalibrate base qualities and realign aligned reads around indels,Software name not in publication title — likely generic usage: GATK version 2.5.2
MuTect version 1.1.4,computational_tools,PMID:26066488,10.1371/journal.pone.0129099,A Systematic Assessment of Accuracy in Detecting Somatic Mosaic Variants by Deep Amplicon Sequencing: Application to NF2 Gene.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,MuTect version 1.1.4,Analysis Software,1.1.4,,,,,,,,,,,,,,,SNVs were identified using MuTect version 1.1.4 with standard parameters,Software name not in publication title — likely generic usage: MuTect version 1.1.4
GATK IndelGenotyperV2,computational_tools,PMID:26066488,10.1371/journal.pone.0129099,A Systematic Assessment of Accuracy in Detecting Somatic Mosaic Variants by Deep Amplicon Sequencing: Application to NF2 Gene.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,GATK IndelGenotyperV2,Analysis Software,,,,,,,,,,,,,,,,GATK IndelGenotyperV2 (with minFraction = 0.001 and minCnt = 3) was used to detect InDels,No version and no repository URL (confidence < 0.9 — unidentifiable)
Annovar,computational_tools,PMID:26066488,10.1371/journal.pone.0129099,A Systematic Assessment of Accuracy in Detecting Somatic Mosaic Variants by Deep Amplicon Sequencing: Application to NF2 Gene.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,Annovar,Analysis Software,,,,,,,,,,,,,,,,Genomic and functional annotation of detected variants was made by Annovar,Generic bioinformatics/stats tool: Annovar
Illumina DesignStudio,computational_tools,PMID:26066488,10.1371/journal.pone.0129099,A Systematic Assessment of Accuracy in Detecting Somatic Mosaic Variants by Deep Amplicon Sequencing: Application to NF2 Gene.,,0.8,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,Illumina DesignStudio,Web Application,,,,,,,,,,,,,,,,Amplicons were designed by Illumina DesignStudio (http://www.illumina.com),No version and no repository URL (confidence < 0.9 — unidentifiable)
GeneMapper software,computational_tools,PMID:26066488,10.1371/journal.pone.0129099,A Systematic Assessment of Accuracy in Detecting Somatic Mosaic Variants by Deep Amplicon Sequencing: Application to NF2 Gene.,,0.8,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,GeneMapper software,Analysis Software,,,,,,,,,,,,,,,,"Electrophoresis data were analyzed by GeneMapper software (Life Technologies, Carlsbad, CA, USA)",No version and no repository URL (confidence < 0.9 — unidentifiable)
Rotor Gene 6000 Instrument,computational_tools,PMID:26066488,10.1371/journal.pone.0129099,A Systematic Assessment of Accuracy in Detecting Somatic Mosaic Variants by Deep Amplicon Sequencing: Application to NF2 Gene.,,0.8,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,Rotor Gene 6000 Instrument,Analysis Software,,,,,,,,,,,,,,,,"HRM analysis was performed on the Rotor Gene 6000 Instrument (Corbett Research, Sydney, Australia)",No version and no repository URL (confidence < 0.9 — unidentifiable)
AB/SCIEX 6500 QTRAP,computational_tools,PMID:37616542,10.1158/1535-7163.MCT-23-0258,"Pro-905, a Novel Purine Antimetabolite, Combines with Glutamine Amidotransferase Inhibition to Suppress Growth of Malignant Peripheral Nerve Sheath Tumor.",,0.8,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,AB/SCIEX 6500 QTRAP,Analysis Software,,,,,,,,,,,,,,,,5 μL was injected onto an AB/SCIEX 6500 QTRAP hybrid triple quadrupole mass spectrometer,No version and no repository URL (confidence < 0.9 — unidentifiable)
MultiQuant 3.0,computational_tools,PMID:37616542,10.1158/1535-7163.MCT-23-0258,"Pro-905, a Novel Purine Antimetabolite, Combines with Glutamine Amidotransferase Inhibition to Suppress Growth of Malignant Peripheral Nerve Sheath Tumor.",,0.85,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,MultiQuant 3.0,Analysis Software,3.0,,,,,,,,,,,,,,,Data were integrated using MultiQuant 3.0 software to generate peak area intensities,Software name not in publication title — likely generic usage: MultiQuant 3.0
Metaboanalyst,computational_tools,PMID:37616542,10.1158/1535-7163.MCT-23-0258,"Pro-905, a Novel Purine Antimetabolite, Combines with Glutamine Amidotransferase Inhibition to Suppress Growth of Malignant Peripheral Nerve Sheath Tumor.",,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,Metaboanalyst,Web Application,,,,,,,,,,,,,,,,Peak intensities were normalized to vehicle-treated samples and analyzed further using Metaboanalyst,No version and no repository URL (confidence < 0.9 — unidentifiable)
GraphPad Prism,computational_tools,PMID:37616542,10.1158/1535-7163.MCT-23-0258,"Pro-905, a Novel Purine Antimetabolite, Combines with Glutamine Amidotransferase Inhibition to Suppress Growth of Malignant Peripheral Nerve Sheath Tumor.",,0.8,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,GraphPad Prism,Analysis Software,,,,,,,,,,,,,,,,plotted in GraphPad Prism (RRID:SCR_002798) and analyzed by ordinary one-way ANOVA,Generic bioinformatics/stats tool: GraphPad Prism
Aperio Imagescope,computational_tools,PMID:37616542,10.1158/1535-7163.MCT-23-0258,"Pro-905, a Novel Purine Antimetabolite, Combines with Glutamine Amidotransferase Inhibition to Suppress Growth of Malignant Peripheral Nerve Sheath Tumor.",,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,Aperio Imagescope,Analysis Software,,,,,,,,,,,,,,,,analyzed by a trained blinded investigator using Aperio Imagescope software,No version and no repository URL (confidence < 0.9 — unidentifiable)
Image Pro Plus (version 4.1),computational_tools,PMID:19306381,10.1002/glia.20866,Neuregulin-1 beta and neuregulin-1 alpha differentially affect the migration and invasion of malignant peripheral nerve sheath tumor cells.,,0.85,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,Image Pro Plus (version 4.1),Analysis Software,4.1,,,,,,,,,,,,,,,The number of cells in each photographed field were counted using Image Pro Plus (version 4.1) software,Software name not in publication title — likely generic usage: Image Pro Plus (version 4.1)
StereoInvestigator software,computational_tools,PMID:19306381,10.1002/glia.20866,Neuregulin-1 beta and neuregulin-1 alpha differentially affect the migration and invasion of malignant peripheral nerve sheath tumor cells.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,StereoInvestigator software,Analysis Software,,,,,,,,,,,,,,,,"controlled by a computer equipped with StereoInvestigator software (MBF Bioscience, Inc.; Williston, VT)",No version and no repository URL (confidence < 0.9 — unidentifiable)
R subread package,computational_tools,PMID:33816648,10.1016/j.omtm.2021.03.004,Transplantation of miPSC/mESC-derived retinal ganglion cells into healthy and glaucomatous retinas.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,R subread package,Package/Library,,,,,,,,,,,,,,,,RNA-seq analysis was performed using the Source Forge R subread package,Publication title lacks NF-specific terms: Transplantation of miPSC/mESC-derived retinal ganglion cells into healthy and gl
EdgeR software,computational_tools,PMID:33816648,10.1016/j.omtm.2021.03.004,Transplantation of miPSC/mESC-derived retinal ganglion cells into healthy and glaucomatous retinas.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,EdgeR software,Package/Library,,,,,,,,,,,,,,,,Further analysis was performed using EdgeR software,Publication title lacks NF-specific terms: Transplantation of miPSC/mESC-derived retinal ganglion cells into healthy and gl
FlowJo software,computational_tools,PMID:33816648,10.1016/j.omtm.2021.03.004,Transplantation of miPSC/mESC-derived retinal ganglion cells into healthy and glaucomatous retinas.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,FlowJo software,Analysis Software,,,,,,,,,,,,,,,,Flow cytometry was performed on a BD LSR II analyzer and obtained data were gated within FlowJo software,Publication title lacks NF-specific terms: Transplantation of miPSC/mESC-derived retinal ganglion cells into healthy and gl
FSL 6.0.5,computational_tools,PMID:39665502,10.1002/hbm.70087,Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Application of Advanced Diffusion-Weighted Imaging in Children With Rasopathies.,,0.85,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,FSL 6.0.5,Analysis Software,6.0.5,,,,,,,,,,,,,,,"DWI data were preprocessed (author MR) using FSL 6.0.5 (FMRIB Analysis Group, Oxford, UK), with topup susceptibility‐induced distortion correction",Publication title lacks NF-specific terms: Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Applica
topup,computational_tools,PMID:39665502,10.1002/hbm.70087,Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Application of Advanced Diffusion-Weighted Imaging in Children With Rasopathies.,,0.8,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,topup,Command-line Tool,,,,,,,,,,,,,,,,"using FSL 6.0.5 (FMRIB Analysis Group, Oxford, UK), with topup susceptibility‐induced distortion correction and eddy for correction",Publication title lacks NF-specific terms: Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Applica
eddy,computational_tools,PMID:39665502,10.1002/hbm.70087,Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Application of Advanced Diffusion-Weighted Imaging in Children With Rasopathies.,,0.8,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,eddy,Command-line Tool,,,,,,,,,,,,,,,,with topup susceptibility‐induced distortion correction and eddy for correction of eddy currents‐induced distortions and subject movements,Publication title lacks NF-specific terms: Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Applica
NODDI Matlab Toolbox v. 1.05,computational_tools,PMID:39665502,10.1002/hbm.70087,Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Application of Advanced Diffusion-Weighted Imaging in Children With Rasopathies.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,NODDI Matlab Toolbox v. 1.05,Package/Library,v. 1.05,,,,,,,,,,,,,,,"The NODDI maps were generated using the NODDI Matlab Toolbox v. 1.05 (UCL, UK) through fitting to the preprocessed diffusion data",Publication title lacks NF-specific terms: Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Applica
MATLAB R2023b,computational_tools,PMID:39665502,10.1002/hbm.70087,Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Application of Advanced Diffusion-Weighted Imaging in Children With Rasopathies.,,0.85,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,MATLAB R2023b,Analysis Software,R2023b,,,,,,,,,,,,,,,"through fitting to the preprocessed diffusion data in MATLAB R2023b (Mathworks, Natick, MA)",Publication title lacks NF-specific terms: Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Applica
dtifit,computational_tools,PMID:39665502,10.1002/hbm.70087,Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Application of Advanced Diffusion-Weighted Imaging in Children With Rasopathies.,,0.8,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,dtifit,Command-line Tool,,,,,,,,,,,,,,,,The DKI maps for MK were generated using the dtifit command in FSL by including the kurtdir argument for multi‐shell data,Publication title lacks NF-specific terms: Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Applica
TRACULA,computational_tools,PMID:39665502,10.1002/hbm.70087,Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Application of Advanced Diffusion-Weighted Imaging in Children With Rasopathies.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,TRACULA,Analysis Software,,,,,,,,,,,,,,,,TRActs Constrained by UnderLying Anatomy (TRACULA) delineated 42 major white matter tracts using probabilistic tractography,Publication title lacks NF-specific terms: Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Applica
R 4.3.1,computational_tools,PMID:39665502,10.1002/hbm.70087,Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Application of Advanced Diffusion-Weighted Imaging in Children With Rasopathies.,,0.85,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,R 4.3.1,Analysis Software,4.3.1,,,,,,,,,,,,,,,"Statistical analysis was completed by JP in R 4.3.1 (R Core Team, 2023)",Publication title lacks NF-specific terms: Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Applica
MICE package,computational_tools,PMID:39665502,10.1002/hbm.70087,Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Application of Advanced Diffusion-Weighted Imaging in Children With Rasopathies.,,0.8,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,MICE package,Package/Library,,,,,,,,,,,,,,,,missing data were imputed using a predictive mean matching algorithm performed by the Multiple Imputation by Chained Equations (MICE) package in R,Publication title lacks NF-specific terms: Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Applica
prcomp function,computational_tools,PMID:39665502,10.1002/hbm.70087,Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Application of Advanced Diffusion-Weighted Imaging in Children With Rasopathies.,,0.75,Experimental Usage,True,0.67,Low,,,,,,,,,,,,,,,prcomp function,Package/Library,,,,,,,,,,,,,,,,"PCA was conducted using the prcomp function in R, which performs PCA using the singular value decomposition approach",Publication title lacks NF-specific terms: Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Applica
MASS package,computational_tools,PMID:39665502,10.1002/hbm.70087,Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Application of Advanced Diffusion-Weighted Imaging in Children With Rasopathies.,,0.8,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,MASS package,Package/Library,,,,,,,,,,,,,,,,linear discriminant analysis was then conducted using the lda function within the MASS package in R,Publication title lacks NF-specific terms: Elucidating Microstructural Alterations in Neurodevelopmental Disorders: Applica
R Statistical Environment V 3.2.4,computational_tools,PMID:28644838,10.1371/journal.pone.0178639,"Characterization and utilization of an international neurofibromatosis web-based, patient-entered registry: An observational study.",,0.85,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,R Statistical Environment V 3.2.4,Analysis Software,3.2.4,,,,,,,,,,,,,,,...imported into the R Statistical Environment V 3.2.4. Tabulations were performed using the stat.table function...,Software name not in publication title — likely generic usage: R Statistical Environment V 3.2.4
Epi package,computational_tools,PMID:28644838,10.1371/journal.pone.0178639,"Characterization and utilization of an international neurofibromatosis web-based, patient-entered registry: An observational study.",,0.8,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,Epi package,Package/Library,,,,,,,,,,,,,,,,...Tabulations were performed using the stat.table function of the Epi package...,No version and no repository URL (confidence < 0.9 — unidentifiable)
MySQL Server,computational_tools,PMID:28644838,10.1371/journal.pone.0178639,"Characterization and utilization of an international neurofibromatosis web-based, patient-entered registry: An observational study.",,0.75,Experimental Usage,True,0.67,Low,,,,,,,,,,,,,,,MySQL Server,Database,,,,,,,,,,,,,,,,...Invitae uses MySQL Server as the back-end relational database...,No version and no repository URL (confidence < 0.9 — unidentifiable)
Agilent-026437 Zebrafish GX v3 4 × 44K,computational_tools,PMID:24686726,10.1038/oncsis.2014.10,Activation of Sonic hedgehog signaling in neural progenitor cells promotes glioma development in the zebrafish optic pathway.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,Agilent-026437 Zebrafish GX v3 4 × 44K,Database,v3,,,,,,,,,,,,,,,"Microarray was performed using Agilent-026437 (Agilent, Santa Clara, CA, USA), Zebrafish GX v3 4 × 44K",Publication title lacks NF-specific terms: Activation of Sonic hedgehog signaling in neural progenitor cells promotes gliom
Agilent Feature Extraction software,computational_tools,PMID:24686726,10.1038/oncsis.2014.10,Activation of Sonic hedgehog signaling in neural progenitor cells promotes glioma development in the zebrafish optic pathway.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,Agilent Feature Extraction software,Analysis Software,v.10.5.1.1,,,,,,,,,,,,,,,data were extracted by Agilent Feature Extraction software (v.10.5.1.1) using GE1_105_Jan09 protocol,Publication title lacks NF-specific terms: Activation of Sonic hedgehog signaling in neural progenitor cells promotes gliom
Nikon NIS Elements,computational_tools,PMID:24686726,10.1038/oncsis.2014.10,Activation of Sonic hedgehog signaling in neural progenitor cells promotes glioma development in the zebrafish optic pathway.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,Nikon NIS Elements,Analysis Software,,,,,,,,,,,,,,,,OT from the midline to the left and right edges was measured and analyzed using Nikon NIS Elements,Publication title lacks NF-specific terms: Activation of Sonic hedgehog signaling in neural progenitor cells promotes gliom
IVIS 2.50 cooled charged-coupled device camera,computational_tools,PMID:18931645,10.1097/MAO.0b013e31818b6cea,Bioluminescent imaging of intracranial vestibular schwannoma xenografts in NOD/SCID mice.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,IVIS 2.50 cooled charged-coupled device camera,Analysis Software,2.50,,,,,,,,,,,,,,,"Ten minutes after luciferin injection, mice were imaged with an IVIS 2.50 cooled charged-coupled device camera (Xenogen 200 series).",Software name not in publication title — likely generic usage: IVIS 2.50 cooled charged-coupled device camera
Living Image software,computational_tools,PMID:18931645,10.1097/MAO.0b013e31818b6cea,Bioluminescent imaging of intracranial vestibular schwannoma xenografts in NOD/SCID mice.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,Living Image software,Analysis Software,,,,,,,,,,,,,,,,"For BLI analysis, an intracranial area of signal was defined using Living Image software",No version and no repository URL (confidence < 0.9 — unidentifiable)
small animal stereotactic frame,computational_tools,PMID:18931645,10.1097/MAO.0b013e31818b6cea,Bioluminescent imaging of intracranial vestibular schwannoma xenografts in NOD/SCID mice.,,0.75,Experimental Usage,True,0.67,Low,,,,,,,,,,,,,,,small animal stereotactic frame,Other,,,,,,,,,,,,,,,,"With the aide of a small animal stereotactic frame (ASI Instruments, Houston, TX, USA), cells were injected",No version and no repository URL (confidence < 0.9 — unidentifiable)
Tucker-Davis Technologies BioSigRZ system,computational_tools,PMID:41616055,10.1126/sciadv.ady8382,Inhibition of focal adhesion kinase impairs tumor formation and preserves hearing in a murine model of NF2-related schwannomatosis.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,Tucker-Davis Technologies BioSigRZ system,Analysis Software,,,,,,,,,,,,,,,,"The Tucker-Davis Technologies (TDT) BioSigRZ system, with an RZ6 digital/analog converter (TDT), was used to produce and record responses",No version and no repository URL (confidence < 0.9 — unidentifiable)
HALO AI DenseNet module,computational_tools,PMID:41616055,10.1126/sciadv.ady8382,Inhibition of focal adhesion kinase impairs tumor formation and preserves hearing in a murine model of NF2-related schwannomatosis.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,HALO AI DenseNet module,Analysis Software,4.0,,,,,,,,,,,,,,,"Abnormal tissue and nuclear quantifications were performed using H&E-stained slides and a custom or pretrained HALO AI DenseNet module, respectively (Indica Labs, version 4.0, RRID:SCR_018350)",Software name not in publication title — likely generic usage: HALO AI DenseNet module
Seurat,computational_tools,PMID:41616055,10.1126/sciadv.ady8382,Inhibition of focal adhesion kinase impairs tumor formation and preserves hearing in a murine model of NF2-related schwannomatosis.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,Seurat,Package/Library,4.0.2,,,,,,,,,,,,,,,"The filtered_bc_matrix.h5 files were read into R using the Read10X_h5 function in Seurat (version 4.0.2, RRID:SCR_016341)",Software name not in publication title — likely generic usage: Seurat
CellChat,computational_tools,PMID:41616055,10.1126/sciadv.ady8382,Inhibition of focal adhesion kinase impairs tumor formation and preserves hearing in a murine model of NF2-related schwannomatosis.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,CellChat,Package/Library,2.1.2,,,,,,,,,,,,,,,"CellChat (version 2.1.2, RRID:SCR_021946) was used to assess cell-cell communication within human VS",Software name not in publication title — likely generic usage: CellChat
SynergyFinder,computational_tools,PMID:41616055,10.1126/sciadv.ady8382,Inhibition of focal adhesion kinase impairs tumor formation and preserves hearing in a murine model of NF2-related schwannomatosis.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,SynergyFinder,Package/Library,3.2,,,,,,,,,,,,,,,"Synergy graphs and Zero Interaction Potency score (ZIP), Loewe, and Bliss synergy scores were computed using the SynergyFinder package (version 3.2, RRID:SCR_019318) in R",Software name not in publication title — likely generic usage: SynergyFinder
iDEP.96,computational_tools,PMID:41616055,10.1126/sciadv.ady8382,Inhibition of focal adhesion kinase impairs tumor formation and preserves hearing in a murine model of NF2-related schwannomatosis.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,iDEP.96,Web Application,,,,,,,,,,,,,,,,Log 2 [counts per million (CPM) + 4] normalization of raw counts was performed using iDEP.96,No version and no repository URL (confidence < 0.9 — unidentifiable)
Omics Playground,computational_tools,PMID:41616055,10.1126/sciadv.ady8382,Inhibition of focal adhesion kinase impairs tumor formation and preserves hearing in a murine model of NF2-related schwannomatosis.,,0.85,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,Omics Playground,Analysis Software,2.7.18,,,,,,,,,,,,,,,Plots for gene set enrichment (Figs. 2 and 3) and cell type mapping (reference dataset: LM22) were generated in Omics Playground software v2.7.18,Software name not in publication title — likely generic usage: Omics Playground
Imaris,computational_tools,PMID:41616055,10.1126/sciadv.ady8382,Inhibition of focal adhesion kinase impairs tumor formation and preserves hearing in a murine model of NF2-related schwannomatosis.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,Imaris,Analysis Software,,,,,,,,,,,,,,,,"Images were processed using Imaris (Bitplane, RRID:SCR_007370)",Generic bioinformatics/stats tool: Imaris
ImageJ,computational_tools,PMID:41616055,10.1126/sciadv.ady8382,Inhibition of focal adhesion kinase impairs tumor formation and preserves hearing in a murine model of NF2-related schwannomatosis.,,0.85,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,ImageJ,Analysis Software,1.53,,,,,,,,,,,,,,,"Arbitrary densitometry units were calculated and quantified using the ImageJ software [National Institutes of Health (NIH), version 1.53]",Generic bioinformatics/stats tool: ImageJ
ImageJ software,computational_tools,PMID:29590612,10.1016/j.celrep.2018.03.014,A Conserved Circadian Function for the Neurofibromatosis 1 Gene.,,0.8,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,ImageJ software,Analysis Software,,,,,,,,,,,,,,,,All images were analyzed with ImageJ software.,Generic bioinformatics/stats tool: ImageJ software
Drosophila Activity Monitoring System (Trikinetics),computational_tools,PMID:29590612,10.1016/j.celrep.2018.03.014,A Conserved Circadian Function for the Neurofibromatosis 1 Gene.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,Drosophila Activity Monitoring System (Trikinetics),Analysis Software,,,,,,,,,,,,,,,,"Sleep was monitored with the single-beam Drosophila Activity Monitoring System (Trikinetics, Waltham, MA)",No version and no repository URL (confidence < 0.9 — unidentifiable)
Clocklab software (Actimetrics),computational_tools,PMID:29590612,10.1016/j.celrep.2018.03.014,A Conserved Circadian Function for the Neurofibromatosis 1 Gene.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,Clocklab software (Actimetrics),Analysis Software,,,,,,,,,,,,,,,,"Locomotor activity during days 1–7 in constant darkness was analyzed with Clocklab software (Actimetrics, Wilmette, IL).",No version and no repository URL (confidence < 0.9 — unidentifiable)
Meta-cycle R program,computational_tools,PMID:29590612,10.1016/j.celrep.2018.03.014,A Conserved Circadian Function for the Neurofibromatosis 1 Gene.,,0.85,Experimental Usage,True,0.67,Medium,,,,,,,,,,,,,,,Meta-cycle R program,Package/Library,,,,,,,,,,,,,,,,the calcium data were subjected to Jonckheere-Terpstra-Kendall (JTK)_CYCLE and Lomb-Scargle (LS) analysis using the Meta-cycle R program,No version and no repository URL (confidence < 0.9 — unidentifiable)
GeneNetwork,computational_tools,PMID:17216419,10.1007/s10048-006-0078-5,Nf1 expression is dependent on strain background: implications for tumor suppressor haploinsufficiency studies.,,0.85,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,GeneNetwork,Web Application,,http://www.genenetwork.org/search.html,,,,,,,,,,,,,,The GeneNetwork (http://www.genenetwork.org/search.html) was searched for Nf1 in mouse B×D datasets from the brain,Software name not in publication title — likely generic usage: GeneNetwork
